game_name_origin,game_name,game_name_abbr,index_name,cur_version,dimension,reversed,check_result
按图索骥,按图索骥,HOP,mean_dist_err_allo,初版,,,
按图索骥,按图索骥,HOP,mean_dist_err_both,初版,,,
按图索骥,按图索骥,HOP,mean_dist_err_ego,初版,,,
按图索骥,按图索骥,HOP,mean_log_err_allo,初版,,,
按图索骥,按图索骥,HOP,mean_log_err_both,初版,perception,yes,target
按图索骥,按图索骥,HOP,mean_log_err_ego,初版,,,
变色魔块PRO,变色魔块PRO,StopSigPro,mean_ssd,北师大测评后改版,,,
变色魔块PRO,变色魔块PRO,StopSigPro,pc_all,北师大测评后改版,,,
变色魔块PRO,变色魔块PRO,StopSigPro,pc_go,北师大测评后改版,,,
变色魔块PRO,变色魔块PRO,StopSigPro,pc_stop,北师大测评后改版,,,
变色魔块PRO,变色魔块PRO,StopSigPro,rt_nth,北师大测评后改版,,,
变色魔块PRO,变色魔块PRO,StopSigPro,ssrt,北师大测评后改版,inhibition,yes,target
变戏法,变戏法,AntiSac,ies,初版,,,
变戏法,变戏法,AntiSac,lisas,初版,,,
变戏法,变戏法,AntiSac,mrt,初版,,,
变戏法,变戏法,AntiSac,nc,初版,inhibition,no,target
变戏法,变戏法,AntiSac,rcs,初版,,,
变戏法,变戏法,AntiSac,rtsd,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,cong_eff_ies,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,cong_eff_lisas,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,cong_eff_mrt,初版,inhibition,yes,target-stash
察颜观色PRO,察颜观色PRO,FacesPro,cong_eff_pc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,cong_eff_rcs,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,ies_con,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,ies_inc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,ies_repeat,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,ies_switch,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,lisas_con,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,lisas_inc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,lisas_repeat,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,lisas_switch,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,mrt,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,mrt_con,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,mrt_inc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,mrt_repeat,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,mrt_switch,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,pc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,pc_con,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,pc_inc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,pc_repeat,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,pc_switch,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,rcs_con,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,rcs_inc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,rcs_repeat,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,rcs_switch,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,switch_cost_ies,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,switch_cost_lisas,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,switch_cost_mrt,初版,switching,yes,target
察颜观色PRO,察颜观色PRO,FacesPro,switch_cost_pc,初版,,,
察颜观色PRO,察颜观色PRO,FacesPro,switch_cost_rcs,初版,,,
超级秒表PRO,超级秒表PRO,SRTPro,mrt,初版,speeded IP,yes,target
超级秒表PRO,超级秒表PRO,SRTPro,rtsd,初版,,,
打靶场,打靶场,RSpan,max_span,初版,,,
打靶场,打靶场,RSpan,mean_span_anu,初版,,,
打靶场,打靶场,RSpan,mean_span_pcu,初版,complex span,no,target-alt1
打靶场,打靶场,RSpan,nc,初版,complex span,no,target-alt2
登陆月球（中级）,登陆月球（中级）,NLEMed,mean_abs_err,北师大测评后改版,,,
登陆月球（中级）,登陆月球（中级）,NLEMed,mean_log_err,北师大测评后改版,math,yes,target
多彩文字PRO,多彩文字PRO,ColStrpPro,cong_eff_ies,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,cong_eff_lisas,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,cong_eff_mrt,初版,inhibition,yes,target
多彩文字PRO,多彩文字PRO,ColStrpPro,cong_eff_pc,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,cong_eff_rcs,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,ies_con,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,ies_inc,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,lisas_con,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,lisas_inc,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,mrt,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,mrt_con,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,mrt_inc,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,pc,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,pc_con,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,pc_inc,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,rcs_con,初版,,,
多彩文字PRO,多彩文字PRO,ColStrpPro,rcs_inc,初版,,,
方向临摹,方向临摹,JLO,mean_ang_err,初版,,,
方向临摹,方向临摹,JLO,mean_log_err,初版,perception,yes,target
方向临摹,方向临摹,JLO,nc,初版,,,
格子卡片,格子卡片,Grid2back,dprime,初版,working memory,no,target
格子卡片,格子卡片,Grid2back,ies,初版,,,
格子卡片,格子卡片,Grid2back,lisas,初版,,,
格子卡片,格子卡片,Grid2back,mrt,初版,strategic IP,yes,target-stash
格子卡片,格子卡片,Grid2back,pc,初版,,,
格子卡片,格子卡片,Grid2back,rcs,初版,,,
各得其所,各得其所,LdnTwr,mrt_init,初版,inhibition,yes,target
各得其所,各得其所,LdnTwr,prop_perfect,初版,reasoning,no,target
过目不忘PRO,过目不忘PRO,FWSPro,max_span,清华大学测评后改版,,,
过目不忘PRO,过目不忘PRO,FWSPro,mean_span_anu,清华大学测评后改版,,,
过目不忘PRO,过目不忘PRO,FWSPro,mean_span_pcu,清华大学测评后改版,working memory,no,target-alt1
过目不忘PRO,过目不忘PRO,FWSPro,nc,清华大学测评后改版,working memory,no,target-alt2
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,cong_eff_ies,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,cong_eff_lisas,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,cong_eff_mrt,初版,inhibition,yes,target
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,cong_eff_pc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,cong_eff_rcs,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,ies_con,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,ies_inc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,ies_repeat,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,ies_switch,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,lisas_con,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,lisas_inc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,lisas_repeat,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,lisas_switch,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,mrt,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,mrt_con,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,mrt_inc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,mrt_repeat,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,mrt_switch,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,pc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,pc_con,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,pc_inc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,pc_repeat,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,pc_switch,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,rcs_con,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,rcs_inc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,rcs_repeat,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,rcs_switch,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,switch_cost_ies,初版,,,
