"game_name","game_name_abbr","index_name",dimension,reversed
"火眼金睛","AttSrc","nc",Attention,f
"按图索骥","HOP","mean_dist_err_allo",,
"按图索骥","HOP","mean_dist_err_both",,
"按图索骥","HOP","mean_dist_err_ego",,
"按图索骥","HOP","mean_log_err_allo",,
"按图索骥","HOP","mean_log_err_both",Perception,t
"按图索骥","HOP","mean_log_err_ego",,
"方向临摹","JLO","nc",,
"方向临摹","JLO","mean_ang_err",,
"方向临摹","JLO","mean_log_err",Perception,t
"登陆月球（中级）","NLEMed","mean_abs_err",,
"登陆月球（中级）","NLEMed","mean_log_err",Math,t
"连点成画PRO","FPTPro","nc",Thinking,f
"各得其所","LdnTwr","prop_perfect",Thinking,f
"各得其所","LdnTwr","mrt_init",,
"位置记忆PRO","SSTMPro","nc",Memory,f
"位置记忆PRO","SSTMPro","max_span",,
"位置记忆PRO","SSTMPro","mean_span_pcu",,
"位置记忆PRO","SSTMPro","mean_span_anu",,
"顺背数PRO","FDSPro","nc",Memory,f
"顺背数PRO","FDSPro","max_span",,
"顺背数PRO","FDSPro","mean_span_pcu",,
"顺背数PRO","FDSPro","mean_span_anu",,
"宇宙黑洞A","LocMemStd","nc",Memory,f
"宇宙黑洞A","LocMemStd","max_span",,
"宇宙黑洞A","LocMemStd","mean_span_pcu",,
"宇宙黑洞A","LocMemStd","mean_span_anu",,
"欢乐餐厅PRO","AscMemPro","nc",Memory,f
"蝴蝶照相机","SCSpan","nc",Working Memory,f
"蝴蝶照相机","SCSpan","max_span",,
"蝴蝶照相机","SCSpan","mean_span_pcu",,
"蝴蝶照相机","SCSpan","mean_span_anu",,
"打靶场","RSpan","nc",Working Memory,f
"打靶场","RSpan","max_span",,
"打靶场","RSpan","mean_span_pcu",,
"打靶场","RSpan","mean_span_anu",,
"密码箱","KeepTrack","nc",Working Memory,f
"密码箱","KeepTrack","max_span",,
"密码箱","KeepTrack","mean_span_pcu",,
"密码箱","KeepTrack","mean_span_anu",,
"舒尔特方格（中级）","SchulteMed","nc_cor",Attention,f
"我是大厨","MSynWin","score_total",Attention,f
"我是大厨","MSynWin","score_aud",,
"我是大厨","MSynWin","score_mem",,
"我是大厨","MSynWin","score_vis",,
"萤火虫PRO","MOTPro","nc",Attention,f
"萤火虫PRO","MOTPro","max_span",,
"萤火虫PRO","MOTPro","mean_span_pcu",,
"萤火虫PRO","MOTPro","mean_span_anu",,
"雪花收藏家","DirectSrc","nc_cor",Attention,f
"幸运小球PRO","OCSpanPro","nc",Working Memory,f
"幸运小球PRO","OCSpanPro","max_span",,
"幸运小球PRO","OCSpanPro","mean_span_pcu",,
"幸运小球PRO","OCSpanPro","mean_span_anu",,
"视角判断","VAT","nc",Quantitative,f
"人工语言-高级","AscLanAdv","nc",Memory,f
"瑞文高级推理","RAPM","nc_prac",,
"瑞文高级推理","RAPM","nc_test",Fluid,f
"瑞文高级推理","RAPM","nc_total",,
"图片记忆A","BPS","pc",,
"图片记忆A","BPS","p_sim_foil",,
"图片记忆A","BPS","p_sim_lure",,
"图片记忆A","BPS","p_sim_target",,
"图片记忆A","BPS","bps_score",Memory,f
"言语记忆A","DRM","tm_dprime",Memory,f
"言语记忆A","DRM","tm_bias",,
"言语记忆A","DRM","fm_dprime",,
"言语记忆A","DRM","fm_bias",,
"语义判断","Seman","nc",Reading,f
"语义判断","Seman","mrt",,
"语义判断","Seman","rtsd",,
"语义判断","Seman","dprime",,
"语义判断","Seman","commissions",,
"语义判断","Seman","omissions",,
"声调判断","Tone","nc",Reading,f
"声调判断","Tone","mrt",,
"声调判断","Tone","rtsd",,
"声调判断","Tone","dprime",,
